time,open,high,low,close,tick_volume,low_time,high_time
2020-06-17 00:00:00,340.19,341.2,334.4,334.4,782,2020-06-17 00:00:00,2020-06-17 00:00:00
2020-06-18 00:00:00,341.03,341.03,334.62,337.67,947,2020-06-18 00:00:00,2020-06-18 00:00:00
2020-06-19 00:00:00,336.86,337.0,331.78,334.67,826,2020-06-19 00:00:00,2020-06-19 00:00:00
2020-06-20 00:00:00,332.8,333.94,332.41,333.6,227,2020-06-20 00:00:00,2020-06-20 00:00:00
2020-06-21 00:00:00,338.25,338.55,336.03,336.73,353,2020-06-21 00:00:00,2020-06-21 00:00:00
2020-06-22 00:00:00,342.68,354.93,341.66,350.94,1829,2020-06-22 00:00:00,2020-06-22 00:00:00
2020-06-23 00:00:00,352.34,353.2,349.95,351.07,524,2020-06-23 00:00:00,2020-06-23 00:00:00
2020-06-24 00:00:00,350.1,359.0,337.0,341.43,3534,2020-06-24 00:00:00,2020-06-24 00:00:00
2020-06-25 00:00:00,341.32,342.78,334.92,339.84,1425,2020-06-25 00:00:00,2020-06-25 00:00:00
2020-06-26 00:00:00,337.02,338.71,331.96,336.54,1303,2020-06-26 00:00:00,2020-06-26 00:00:00
2020-06-27 00:00:00,334.38,336.03,315.4,321.25,2814,2020-06-27 00:00:00,2020-06-27 00:00:00
2020-06-28 00:00:00,321.5,330.86,318.05,328.07,1906,2020-06-28 00:00:00,2020-06-28 00:00:00
2020-06-29 00:00:00,328.07,333.08,324.78,333.08,1160,2020-06-29 00:00:00,2020-06-29 00:00:00
2020-06-30 00:00:00,331.04,336.29,326.16,328.76,1799,2020-06-30 00:00:00,2020-06-30 00:00:00
2020-07-01 00:00:00,327.71,337.2,327.7,335.07,1165,2020-07-01 00:00:00,2020-07-01 00:00:00
2020-07-02 00:00:00,336.91,337.08,329.63,330.02,802,2020-07-02 00:00:00,2020-07-02 00:00:00
2020-07-03 00:00:00,330.44,330.88,324.81,325.44,715,2020-07-03 00:00:00,2020-07-03 00:00:00
2020-07-04 00:00:00,325.56,330.55,325.4,330.26,561,2020-07-04 00:00:00,2020-07-04 00:00:00
2020-07-05 00:00:00,331.87,331.87,324.46,328.35,1131,2020-07-05 00:00:00,2020-07-05 00:00:00
2020-07-06 00:00:00,329.98,344.31,328.37,344.31,1756,2020-07-06 00:00:00,2020-07-06 00:00:00
2020-07-07 00:00:00,347.67,348.87,340.31,342.07,1153,2020-07-07 00:00:00,2020-07-07 00:00:00
2020-07-08 00:00:00,345.79,358.66,345.37,356.03,1635,2020-07-08 00:00:00,2020-07-08 00:00:00
2020-07-09 00:00:00,353.59,355.14,346.51,348.38,1206,2020-07-09 00:00:00,2020-07-09 00:00:00
2020-07-10 00:00:00,348.41,348.78,341.66,345.21,1105,2020-07-10 00:00:00,2020-07-10 00:00:00
2020-07-11 00:00:00,348.06,348.6,344.56,346.31,634,2020-07-11 00:00:00,2020-07-11 00:00:00
2020-07-12 00:00:00,347.7,350.01,341.95,347.09,1552,2020-07-12 00:00:00,2020-07-12 00:00:00
2020-07-13 00:00:00,349.02,352.32,346.75,346.75,888,2020-07-13 00:00:00,2020-07-13 00:00:00
2020-07-14 00:00:00,344.75,348.4,342.7,344.38,1104,2020-07-14 00:00:00,2020-07-14 00:00:00
2020-07-15 00:00:00,345.02,345.04,341.95,341.95,312,2020-07-15 00:00:00,2020-07-15 00:00:00
2020-07-16 00:00:00,342.0,342.0,331.49,336.99,1602,2020-07-16 00:00:00,2020-07-16 00:00:00
2020-07-17 00:00:00,335.55,337.39,333.57,334.52,662,2020-07-17 00:00:00,2020-07-17 00:00:00
2020-07-18 00:00:00,334.53,339.09,334.07,339.09,549,2020-07-18 00:00:00,2020-07-18 00:00:00
2020-07-19 00:00:00,337.19,339.29,336.16,339.29,417,2020-07-19 00:00:00,2020-07-19 00:00:00
2020-07-20 00:00:00,342.97,344.13,336.55,336.55,875,2020-07-20 00:00:00,2020-07-20 00:00:00
2020-07-21 00:00:00,339.49,349.56,339.49,345.6,1404,2020-07-21 00:00:00,2020-07-21 00:00:00
2020-07-22 00:00:00,345.6,374.12,341.38,370.28,4081,2020-07-22 00:00:00,2020-07-22 00:00:00
2020-07-23 00:00:00,371.07,392.3,368.65,389.33,2905,2020-07-23 00:00:00,2020-07-23 00:00:00
2020-07-24 00:00:00,387.34,406.02,383.24,394.84,3807,2020-07-24 00:00:00,2020-07-24 00:00:00
2020-07-25 00:00:00,398.99,433.52,396.91,430.61,4161,2020-07-25 00:00:00,2020-07-25 00:00:00
2020-07-26 00:00:00,425.34,451.95,425.34,438.46,4011,2020-07-26 00:00:00,2020-07-26 00:00:00
2020-07-27 00:00:00,442.53,464.45,442.12,450.46,3674,2020-07-27 00:00:00,2020-07-27 00:00:00
2020-07-28 00:00:00,454.5,460.65,429.31,447.31,5550,2020-07-28 00:00:00,2020-07-28 00:00:00
2020-07-29 00:00:00,443.05,455.15,443.05,444.0,2326,2020-07-29 00:00:00,2020-07-29 00:00:00
2020-07-30 00:00:00,443.61,476.75,443.61,467.66,4224,2020-07-30 00:00:00,2020-07-30 00:00:00
2020-07-31 00:00:00,469.82,506.77,452.9,486.03,9154,2020-07-31 00:00:00,2020-07-31 00:00:00
2020-08-01 00:00:00,490.18,556.79,485.27,546.34,8689,2020-08-01 00:00:00,2020-08-01 00:00:00
2020-08-02 00:00:00,543.18,581.62,475.81,532.02,20047,2020-08-02 00:00:00,2020-08-02 00:00:00
2020-08-03 00:00:00,531.29,561.3,531.29,541.61,4971,2020-08-03 00:00:00,2020-08-03 00:00:00
2020-08-04 00:00:00,562.94,570.7,542.98,547.08,3959,2020-08-04 00:00:00,2020-08-04 00:00:00
2020-08-05 00:00:00,545.99,570.0,539.19,562.6,4502,2020-08-05 00:00:00,2020-08-05 00:00:00
2020-08-06 00:00:00,566.84,566.86,548.57,551.2,2095,2020-08-06 00:00:00,2020-08-06 00:00:00
2020-08-07 00:00:00,550.04,558.91,515.0,534.04,7183,2020-08-07 00:00:00,2020-08-07 00:00:00
2020-08-08 00:00:00,532.2,555.0,532.2,555.0,2281,2020-08-08 00:00:00,2020-08-08 00:00:00
2020-08-09 00:00:00,561.15,561.15,538.81,550.64,3418,2020-08-09 00:00:00,2020-08-09 00:00:00
2020-08-10 00:00:00,552.04,563.98,548.18,550.35,2992,2020-08-10 00:00:00,2020-08-10 00:00:00
2020-08-11 00:00:00,554.18,569.98,521.87,532.25,7430,2020-08-11 00:00:00,2020-08-11 00:00:00
2020-08-12 00:00:00,536.25,544.05,524.47,543.79,3163,2020-08-12 00:00:00,2020-08-12 00:00:00
2020-08-13 00:00:00,546.68,610.11,528.02,594.4,11647,2020-08-13 00:00:00,2020-08-13 00:00:00
2020-08-14 00:00:00,595.6,625.32,589.87,619.67,4684,2020-08-14 00:00:00,2020-08-14 00:00:00
2020-08-15 00:00:00,621.15,623.95,607.88,613.34,2434,2020-08-15 00:00:00,2020-08-15 00:00:00
2020-08-16 00:00:00,605.92,609.4,580.4,609.4,5453,2020-08-16 00:00:00,2020-08-16 00:00:00
2020-08-17 00:00:00,605.04,620.44,591.85,598.62,5077,2020-08-17 00:00:00,2020-08-17 00:00:00
2020-08-18 00:00:00,601.5,604.0,577.86,596.97,4776,2020-08-18 00:00:00,2020-08-18 00:00:00
2020-08-19 00:00:00,592.49,594.1,552.0,569.11,6083,2020-08-19 00:00:00,2020-08-19 00:00:00
2020-08-20 00:00:00,576.32,644.74,563.8,584.77,15344,2020-08-20 00:00:00,2020-08-20 00:00:00
2020-08-21 00:00:00,583.39,583.51,542.58,547.69,4617,2020-08-21 00:00:00,2020-08-21 00:00:00
2020-08-22 00:00:00,540.12,554.48,532.73,554.48,2915,2020-08-22 00:00:00,2020-08-22 00:00:00
2020-08-23 00:00:00,554.54,554.54,543.07,548.44,1685,2020-08-23 00:00:00,2020-08-23 00:00:00
2020-08-24 00:00:00,548.13,576.98,543.36,576.98,3840,2020-08-24 00:00:00,2020-08-24 00:00:00
2020-08-25 00:00:00,570.01,571.01,520.0,534.64,6666,2020-08-25 00:00:00,2020-08-25 00:00:00
2020-08-26 00:00:00,531.98,545.98,531.79,536.57,2380,2020-08-26 00:00:00,2020-08-26 00:00:00
2020-08-27 00:00:00,537.35,553.68,520.0,528.45,5847,2020-08-27 00:00:00,2020-08-27 00:00:00
2020-08-28 00:00:00,527.69,543.15,526.33,535.52,2582,2020-08-28 00:00:00,2020-08-28 00:00:00
2020-08-29 00:00:00,539.03,554.44,534.92,554.44,2364,2020-08-29 00:00:00,2020-08-29 00:00:00
2020-08-30 00:00:00,555.72,588.16,524.42,588.16,9505,2020-08-30 00:00:00,2020-08-30 00:00:00
2020-08-31 00:00:00,586.04,594.97,579.97,594.76,2129,2020-08-31 00:00:00,2020-08-31 00:00:00
2020-09-01 00:00:00,591.44,666.8,584.8,654.35,10110,2020-09-01 00:00:00,2020-09-01 00:00:00
2020-09-02 00:00:00,649.86,657.25,581.5,607.65,10930,2020-09-02 00:00:00,2020-09-02 00:00:00
2020-09-03 00:00:00,605.0,611.6,523.68,533.57,10442,2020-09-03 00:00:00,2020-09-03 00:00:00
2020-09-04 00:00:00,541.09,553.98,519.26,536.45,6481,2020-09-04 00:00:00,2020-09-04 00:00:00
2020-09-05 00:00:00,536.44,543.35,440.15,443.31,11328,2020-09-05 00:00:00,2020-09-05 00:00:00
2020-09-06 00:00:00,471.43,495.36,441.38,489.41,8999,2020-09-06 00:00:00,2020-09-06 00:00:00
2020-09-07 00:00:00,491.65,492.46,450.0,491.5,8478,2020-09-07 00:00:00,2020-09-07 00:00:00
2020-09-08 00:00:00,485.54,559.78,457.18,468.95,18862,2020-09-08 00:00:00,2020-09-08 00:00:00
2020-09-09 00:00:00,472.69,496.63,461.51,485.46,5748,2020-09-09 00:00:00,2020-09-09 00:00:00
2020-09-10 00:00:00,490.23,521.76,489.51,508.29,4645,2020-09-10 00:00:00,2020-09-10 00:00:00
2020-09-11 00:00:00,510.21,517.23,491.63,516.09,4533,2020-09-11 00:00:00,2020-09-11 00:00:00
2020-09-12 00:00:00,516.48,535.83,506.75,535.83,3882,2020-09-12 00:00:00,2020-09-12 00:00:00
2020-09-13 00:00:00,535.66,537.4,490.33,505.61,6410,2020-09-13 00:00:00,2020-09-13 00:00:00
2020-09-14 00:00:00,505.65,526.04,495.12,519.81,4769,2020-09-14 00:00:00,2020-09-14 00:00:00
2020-09-15 00:00:00,518.52,524.52,503.68,508.15,3132,2020-09-15 00:00:00,2020-09-15 00:00:00
2020-09-16 00:00:00,499.0,507.98,490.01,504.04,3091,2020-09-16 00:00:00,2020-09-16 00:00:00
2020-09-17 00:00:00,503.83,540.0,503.83,535.89,4029,2020-09-17 00:00:00,2020-09-17 00:00:00
2020-09-18 00:00:00,536.24,538.34,521.57,528.38,2569,2020-09-18 00:00:00,2020-09-18 00:00:00
2020-09-19 00:00:00,530.33,533.41,523.75,532.58,1708,2020-09-19 00:00:00,2020-09-19 00:00:00
2020-09-20 00:00:00,532.58,532.6,506.76,510.75,2986,2020-09-20 00:00:00,2020-09-20 00:00:00
2020-09-21 00:00:00,514.17,517.98,470.0,480.36,6216,2020-09-21 00:00:00,2020-09-21 00:00:00
2020-09-22 00:00:00,472.78,485.17,400.0,482.86,16027,2020-09-22 00:00:00,2020-09-22 00:00:00
2020-09-23 00:00:00,482.77,484.39,443.65,454.46,5318,2020-09-23 00:00:00,2020-09-23 00:00:00
2020-09-24 00:00:00,457.37,497.0,456.65,497.0,4108,2020-09-24 00:00:00,2020-09-24 00:00:00
2020-09-25 00:00:00,494.63,510.85,483.82,506.9,4180,2020-09-25 00:00:00,2020-09-25 00:00:00
2020-09-26 00:00:00,505.47,507.91,499.99,507.23,1409,2020-09-26 00:00:00,2020-09-26 00:00:00
2020-09-27 00:00:00,512.14,516.42,498.89,507.65,3058,2020-09-27 00:00:00,2020-09-27 00:00:00
2020-09-28 00:00:00,512.07,520.59,501.71,501.71,2741,2020-09-28 00:00:00,2020-09-28 00:00:00
2020-09-29 00:00:00,501.89,504.58,496.09,502.24,1664,2020-09-29 00:00:00,2020-09-29 00:00:00
2020-09-30 00:00:00,502.83,504.63,497.07,504.63,1333,2020-09-30 00:00:00,2020-09-30 00:00:00
2020-10-01 00:00:00,501.83,530.06,484.47,484.47,7383,2020-10-01 00:00:00,2020-10-01 00:00:00
2020-10-02 00:00:00,496.8,496.8,473.69,487.31,3674,2020-10-02 00:00:00,2020-10-02 00:00:00
2020-10-03 00:00:00,489.59,490.05,484.0,487.13,965,2020-10-03 00:00:00,2020-10-03 00:00:00
2020-10-04 00:00:00,485.4,495.71,485.12,495.71,1088,2020-10-04 00:00:00,2020-10-04 00:00:00
2020-10-05 00:00:00,496.06,496.92,492.19,492.79,620,2020-10-05 00:00:00,2020-10-05 00:00:00
2020-10-06 00:00:00,492.8,495.37,476.9,480.3,2445,2020-10-06 00:00:00,2020-10-06 00:00:00
2020-10-07 00:00:00,476.65,484.2,473.67,475.77,2019,2020-10-07 00:00:00,2020-10-07 00:00:00
2020-10-08 00:00:00,480.0,491.95,470.7,491.4,3111,2020-10-08 00:00:00,2020-10-08 00:00:00
2020-10-09 00:00:00,488.07,507.0,488.07,506.38,1956,2020-10-09 00:00:00,2020-10-09 00:00:00
2020-10-10 00:00:00,506.56,526.92,506.56,517.1,3019,2020-10-10 00:00:00,2020-10-10 00:00:00
2020-10-11 00:00:00,516.6,519.52,514.01,514.74,917,2020-10-11 00:00:00,2020-10-11 00:00:00
2020-10-12 00:00:00,517.27,549.1,511.83,547.35,4447,2020-10-12 00:00:00,2020-10-12 00:00:00
2020-10-13 00:00:00,541.16,541.17,527.27,527.27,1392,2020-10-13 00:00:00,2020-10-13 00:00:00
2020-10-14 00:00:00,536.23,540.38,526.94,526.94,1760,2020-10-14 00:00:00,2020-10-14 00:00:00
